,settings,use_val,add_noise,data_type,optimizer,optim_settings,scheduler_settings,bs,epochs,acc,prec,rec,f1,c0_acc,c0_prec,c0_rec,c0_f1,c0_sup,c1_acc,c1_prec,c1_rec,c1_f1,c1_sup,c2_acc,c2_prec,c2_rec,c2_f1,c2_sup,c3_acc,c3_prec,c3_rec,c3_f1,c3_sup,c4_acc,c4_prec,c4_rec,c4_f1,c4_sup,c5_acc,c5_prec,c5_rec,c5_f1,c5_sup,c6_acc,c6_prec,c6_rec,c6_f1,c6_sup,c7_acc,c7_prec,c7_rec,c7_f1,c7_sup,c8_acc,c8_prec,c8_rec,c8_f1,c8_sup
0,"False_2R_ASAFormer_lw1024_bs128_ds[100, 100, 100, 100, 100, 100, 100, 100, 100]",TRUE,TRUE,balanced,Adam,"lr:1e-05, momentum:0.9, weight_decay:0.0002","coslr:False, endlr:0.0, gamma:0.1, step_size:30, warmup:True, lr_step:[120, 160], lr_factor:0.01, warm_epoch:5",128,100,0.9101,0.9115,0.9101,0.91,0.954,0.9755,0.954,0.9646,1000,0.959,0.9486,0.959,0.9538,1000,0.965,0.8377,0.965,0.8968,1000,0.963,0.9767,0.963,0.9698,1000,0.703,0.7837,0.703,0.7412,1000,0.97,1,0.97,0.9848,1000,0.939,0.9582,0.939,0.9485,1000,0.955,0.9765,0.955,0.9656,1000,0.783,0.7471,0.783,0.7646,1000
0,"False_2R_ASAFormer_lw1024_bs128_ds[50, 50, 50, 50, 50, 50, 50, 50, 50]",TRUE,TRUE,balanced,Adam,"lr:1e-05, momentum:0.9, weight_decay:0.0002","coslr:False, endlr:0.0, gamma:0.1, step_size:30, warmup:True, lr_step:[120, 160], lr_factor:0.01, warm_epoch:5",128,100,0.8826,0.8863,0.8826,0.8816,0.952,0.9606,0.952,0.9563,1000,0.971,0.9178,0.971,0.9436,1000,0.94,0.9457,0.94,0.9428,1000,0.924,0.9467,0.924,0.9352,1000,0.569,0.7428,0.569,0.6444,1000,0.972,1,0.972,0.9858,1000,0.931,0.8596,0.931,0.8939,1000,0.859,0.9429,0.859,0.899,1000,0.825,0.6605,0.825,0.7337,1000
