,0,1,2,3,4,5,6,7,8
test_0.3_1024_512_standard_snr5_prob0.3_amp0.05,1000,1000,1000,1000,1000,1000,1000,1000,1000
test_0.3_1024_512_standard_snr5_prob0.3_amp0.05,1000,1000,1000,1000,1000,1000,1000,1000,1000
test_0.3_1024_512_standard_snr5_prob0.3_amp0.05,1000,1000,1000,1000,1000,1000,1000,1000,1000
test_0.3_1024_512_standard_snr5_prob0.3_amp0.05,1000,1000,1000,1000,1000,1000,1000,1000,1000
test_0.3_1024_512_standard_snr5_prob0.3_amp0.05,1000,1000,1000,1000,1000,1000,1000,1000,1000
