0,1,2,3,4,5,6,7,8
952,8,19,3,0,0,11,7,0
0,971,12,0,0,0,17,0,0
33,4,940,2,0,0,19,2,0
0,4,3,924,0,0,62,7,0
0,18,3,0,569,0,7,24,379
6,2,6,1,0,972,12,1,0
0,16,3,46,0,0,931,4,0
0,24,2,0,57,0,13,859,45
0,11,6,0,140,0,11,7,825
