label,support,acc_cls,precision,recall,f1
0,1000,0.954,0.9755,0.954,0.9646
1,1000,0.959,0.9486,0.959,0.9538
2,1000,0.965,0.8377,0.965,0.8968
3,1000,0.963,0.9767,0.963,0.9698
4,1000,0.703,0.7837,0.703,0.7412
5,1000,0.97,1.0,0.97,0.9848
6,1000,0.939,0.9582,0.939,0.9485
7,1000,0.955,0.9765,0.955,0.9656
8,1000,0.783,0.7471,0.783,0.7646
